input,output,type
beba,mon père,person
Yema,ma mère,person
bebasidou / jedi,mon grand père,person
mane / djedet,ma grand mère,person
3mi / 3mou,mon oncle paternel,person
7ali / 7alou / khali,mon oncle maternel,person
3amti,ma tante paternelle,person
khalti,ma tante paternelle,person
wlid + 3mi/kahli/3mti/khalti,mon cousin,person
Bent + 3mi/kahli/3mti/khalti,ma cousine,person
khouya,mon frère,person
khti,ma soeur,person
wliidi,mon fils,person
benti,ma fille,person
morti,ma femme,person
radjli,mon mari,person
nsib / lousi,mon beau-frère,person
sitbi / lousta,ma belle-soeur,person
nsibi / sheikhi,mon beau père,person
nssibti,ma belle mère,person
wled / drari,garçon(s) / enfant,person
bent,fille (enfant),person
bnet,filles (enfant),person
radjel,homme,person
mra / nsa,femme,person
mwalin / walidin / maliya,parents,person
waldiya,mes parents,person
el 3ayla,la famille,person
tfal,garçon,person
tafla,fille,person
ghachi,du monde,person
7ata wahad,personne,person
s7ab,ami,person
kheddem,travailleur,person
fi ra7ba / m3a ba3dana,ensemble,person
m3a dar,en famille,person
cha3b,population,person
moul,propriétaire,person
il a accéléré,ghawel,verb
il accélère,yghawel,verb
il a acheté,chra,verb
il achète,yechri,verb
il a aidé,3awen,verb
il aide,y3awen,verb
il aimait,7eb,verb
il aime,y7eb,verb
il est allé,ra7,verb
il va,yro7,verb
il a appelé,3ayet,verb
il appelle,y3ayet,verb
il a apporté,djab,verb
il apporte,ydjib,verb
il est arrivé,l7e9,verb
il arrive,yel7e9,verb
il a attendu,stena,verb
il attend,yestena,verb
il a,3ndou,verb
il a bu,chrob,verb
il boit,yechrob,verb
il a changé,bedel,verb
il change,tbedel,verb
il a chanté,ghena,verb
il chante,ygheni,verb
il a cherché,7awess,verb
il cherche,i7awess,verb
il sera,ykoun,verb
il était,kaan,verb
il est,rahou,verb
il a commencé,bda,verb
il commence,yebda,verb
il est venu,dja,verb
il vient,ydji,verb
il a compris,fham,verb
il comprend,fham,verb
il a connu,3ref,verb
il connaît,ya3raf,verb
il a crié,3ayet,verb
il crie,y3ayet,verb
il a cuisiné,tayeb,verb
